date_key,date,year,quarter,month_key,month_label,month,month_name,week,day
20251201,2025-12-01,2025,4,202512,2025-12,12,Dec,49,1
20251202,2025-12-02,2025,4,202512,2025-12,12,Dec,49,2
20251203,2025-12-03,2025,4,202512,2025-12,12,Dec,49,3
20251204,2025-12-04,2025,4,202512,2025-12,12,Dec,49,4
20251205,2025-12-05,2025,4,202512,2025-12,12,Dec,49,5
20251206,2025-12-06,2025,4,202512,2025-12,12,Dec,49,6
20251207,2025-12-07,2025,4,202512,2025-12,12,Dec,49,7
20251208,2025-12-08,2025,4,202512,2025-12,12,Dec,50,8
20251209,2025-12-09,2025,4,202512,2025-12,12,Dec,50,9
20251210,2025-12-10,2025,4,202512,2025-12,12,Dec,50,10
20251211,2025-12-11,2025,4,202512,2025-12,12,Dec,50,11
20251212,2025-12-12,2025,4,202512,2025-12,12,Dec,50,12
20251213,2025-12-13,2025,4,202512,2025-12,12,Dec,50,13
20251214,2025-12-14,2025,4,202512,2025-12,12,Dec,50,14
20251215,2025-12-15,2025,4,202512,2025-12,12,Dec,51,15
20251216,2025-12-16,2025,4,202512,2025-12,12,Dec,51,16
20251217,2025-12-17,2025,4,202512,2025-12,12,Dec,51,17
20251218,2025-12-18,2025,4,202512,2025-12,12,Dec,51,18
20251219,2025-12-19,2025,4,202512,2025-12,12,Dec,51,19
20251220,2025-12-20,2025,4,202512,2025-12,12,Dec,51,20
20251221,2025-12-21,2025,4,202512,2025-12,12,Dec,51,21
20251222,2025-12-22,2025,4,202512,2025-12,12,Dec,52,22
20251223,2025-12-23,2025,4,202512,2025-12,12,Dec,52,23
20251224,2025-12-24,2025,4,202512,2025-12,12,Dec,52,24
20251225,2025-12-25,2025,4,202512,2025-12,12,Dec,52,25
20251226,2025-12-26,2025,4,202512,2025-12,12,Dec,52,26
20251227,2025-12-27,2025,4,202512,2025-12,12,Dec,52,27
20251228,2025-12-28,2025,4,202512,2025-12,12,Dec,52,28
20251229,2025-12-29,2025,4,202512,2025-12,12,Dec,1,29
20251230,2025-12-30,2025,4,202512,2025-12,12,Dec,1,30
20251231,2025-12-31,2025,4,202512,2025-12,12,Dec,1,31
